Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.188294,3237924735.522716,3.29023,37.260382,65.867715
0.392062,1378501621.274213,0.913721,10.061877,68.625965
0.323651,4550968244.164749,4.44856,54.128244,70.949023
0.127731,4600064887.415274,2.21947,46.865542,64.643773
0.746363,2335452325.0434775,1.09361,33.804117,62.801077
0.343793,4813977835.07769,9.20681,58.396227,72.600493
0.824144,3310409703.9144425,4.04176,39.151569,58.157278
0.669044,6701463421.249005,8.44222,69.350696,70.842638
0.801991,4012742590.4409533,7.1831,44.797049,59.888719
0.53404,5447213858.987892,6.78434,67.59184,77.320488
0.184336,1940029964.7613733,3.80455,20.872487,66.314
0.847509,1029760338.8563933,2.07014,18.977463,56.385585
0.159675,1234449372.9348927,13.734,16.754426,70.163144
0.401883,1916554851.0703669,1.57979,26.408292,70.002899
0.652625,4915628512.6988945,4.17622,59.520747,71.71398
0.454627,1869243285.7085152,1.75451,29.125355,72.869854
0.808757,1625744311.2664585,1.05774,25.283118,58.389029
0.625104,4769829250.18677,2.36118,59.672368,73.435304
0.524498,1271056602.3055987,8.67883,28.907424,77.607574
0.194441,3705595261.618462,6.2226,44.611089,67.767611
0.411553,2171933268.3710403,11.5016,37.934392,74.066063
0.870639,5382271290.657296,0.822943,47.486956,54.698314
0.945371,2671525059.046727,11.7215,31.056489,51.895846
0.29363,1980118815.3564982,13.6942,33.300614,73.145472
0.746086,1787072500.785316,0.804137,28.091568,62.611392
0.325008,5808175201.849019,13.668,65.887418,73.404589
0.545942,2586165226.8686686,9.76659,45.53593,77.80158
0.425118,5282754400.999302,14.0504,64.564505,74.975508
